occ_code,Title,mSML,vmSML,sdmSML
11-1011.00,Chief Executives,3.499850117,0.355751873,0.596449389
11-1011.03,Chief Sustainability Officers,3.437006689,0.346708032,0.588819185
11-1021.00,General and Operations Managers,3.472928678,0.257831917,0.50777152
11-2011.00,Advertising and Promotions Managers,3.605170591,0.324970092,0.570061481
11-2021.00,Marketing Managers,3.525315279,0.335834446,0.579512248
11-2022.00,Sales Managers,3.596940359,0.377981599,0.614802081
11-2031.00,Public Relations and Fundraising Managers,3.556219307,0.292447332,0.540783998
11-3011.00,Administrative Services Managers,3.33700246,0.414817232,0.644063065
11-3021.00,Computer and Information Systems Managers,3.550050315,0.285875866,0.534673607
11-3031.01,Treasurers and Controllers,3.532780353,0.345355449,0.587669507
11-3031.02,"Financial Managers, Branch or Department",3.549063387,0.338937432,0.582183332
11-3051.00,Industrial Production Managers,3.495001075,0.276112723,0.525464292
11-3051.01,Quality Control Systems Managers,3.605193928,0.366551136,0.605434667
11-3051.02,Geothermal Production Managers,3.415086342,0.344341488,0.586806176
11-3051.04,Biomass Power Plant Managers,3.49412736,0.343852879,0.586389699
11-3061.00,Purchasing Managers,3.420645837,0.388805394,0.623542616
11-3071.01,Transportation Managers,3.557176881,0.425728315,0.652478594
11-3071.02,Storage and Distribution Managers,3.45430495,0.309721766,0.556526519
11-3071.03,Logistics Managers,3.611227378,0.311970082,0.558542821
11-3111.00,Compensation and Benefits Managers,3.39458423,0.391739821,0.625891221
11-3121.00,Human Resources Managers,3.428105239,0.389434356,0.624046758
11-3131.00,Training and Development Managers,3.539295647,0.267265993,0.516977749
11-9013.01,Nursery and Greenhouse Managers,3.499923208,0.317434926,0.563413637
11-9013.02,Farm and Ranch Managers,3.398736931,0.341595522,0.584461737
11-9013.03,Aquacultural Managers,3.585348434,0.302819807,0.550290656
11-9021.00,Construction Managers,3.441873229,0.381068501,0.617307461
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",3.684178886,0.260604647,0.510494512
11-9032.00,"Education Administrators, Elementary and Secondary School",3.562165773,0.290113865,0.538622192
11-9033.00,"Education Administrators, Postsecondary",3.534577928,0.354703315,0.59556974
11-9039.01,Distance Learning Coordinators,3.634266147,0.418541281,0.646947665
11-9039.02,Fitness and Wellness Coordinators,3.545675378,0.318874976,0.564690159
11-9041.00,Architectural and Engineering Managers,3.458049283,0.465700422,0.682422466
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,3.501225672,0.296177704,0.544222109
11-9051.00,Food Service Managers,3.474847784,0.370209314,0.608448284
11-9061.00,Funeral Service Managers,3.410993476,0.44159515,0.66452626
11-9071.00,Gaming Managers,3.536535657,0.358812284,0.599009419
11-9081.00,Lodging Managers,3.380708023,0.35874924,0.598956793
11-9111.00,Medical and Health Services Managers,3.51215138,0.33998298,0.583080595
11-9121.00,Natural Sciences Managers,3.471372559,0.345544837,0.58783062
11-9121.01,Clinical Research Coordinators,3.459397968,0.410174468,0.640448646
11-9121.02,Water Resource Specialists,3.414743799,0.384573542,0.620139938
11-9131.00,Postmasters and Mail Superintendents,3.385119907,0.284512963,0.533397566
11-9141.00,"Property, Real Estate, and Community Association Managers",3.415208703,0.405129678,0.63649798
11-9151.00,Social and Community Service Managers,3.530612431,0.439381006,0.66285821
11-9161.00,Emergency Management Directors,3.479353194,0.350206526,0.591782499
11-9199.01,Regulatory Affairs Managers,3.583608935,0.444320782,0.666573913
11-9199.02,Compliance Managers,3.54543114,0.328681715,0.573307697
11-9199.03,Investment Fund Managers,3.610507483,0.257532269,0.507476373
11-9199.04,Supply Chain Managers,3.591263474,0.336603848,0.580175705
11-9199.07,Security Managers,3.442459958,0.330709399,0.575073386
11-9199.08,Loss Prevention Managers,3.366011478,0.434981629,0.659531371
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,3.453232703,0.437250041,0.66124885
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",3.412753728,0.374893877,0.61228578
